ID,Name,Age,Overall,Potential,Preferred Foot,Position,Finishing
199503,G. Xhaka,25,81,84,Left,LDM,49
199434,D. TadiÄ‡,29,81,81,Left,LAM,74
199042,C. ArÃ¡nguiz,29,81,81,Right,LDM,64
196889,S. Verdi,25,81,81,Left,RW,67
195086,D. Lovren,28,81,82,Right,RCB,33
193532,G. Medel,30,81,81,Right,RCB,31
193348,X. Shaqiri,26,81,81,Left,CAM,71
193165,J. Corona,25,81,83,Right,RM,76
193105,A. Areola,25,81,85,Right,GK,19
192641,K. Vogt,26,81,82,Right,CB,50
191740,Ander Herrera,28,81,81,Right,CM,71
190972,E. Salvio,27,81,81,Right,RW,77
190813,S. El Shaarawy,25,81,82,Right,LM,78
189881,C. Smalling,28,81,82,Right,RCB,54
189362,Hulk,31,81,81,Left,RCM,81
189358,S. Kagawa,29,81,81,Right,CAM,76
188988,M. Lanzini,25,81,85,Right,CAM,70
187491,F. Smolov,28,81,81,Right,ST,84
187072,L. Stindl,29,81,81,Right,CF,79
185239,O. Toprak,28,81,82,Right,CB,28
183900,D. Perotti,29,81,81,Right,LW,66
182494,F. Muslera,32,81,81,Right,GK,10
179784,B. HÃ¶wedes,30,81,81,Right,RCB,51
179645,S. KjÃ¦r,29,81,81,Right,RCB,55
177458,S. Bender,29,81,81,Right,LCB,39
177326,M. Valbuena,33,81,81,Right,LM,74
175379,Pedro LeÃ³n,31,81,81,Right,RM,76
173909,K. Boateng,31,81,81,Right,CM,78
173771,L. Piszczek,33,81,81,Right,RB,65
173221,A. Candreva,31,81,81,Right,RM,73
172522,D. Wass,29,81,81,Right,RB,74
170368,E. Lamela,26,81,82,Left,RM,74
169595,D. Rose,27,81,81,Left,LB,57
169416,C. Vela,29,81,81,Left,RW,81
169195,Renato Augusto,30,81,81,Right,LCM,65
167905,A. Valencia,32,81,81,Right,RM,60
164835,L. FabiaÅ„ski,33,81,81,Right,GK,13
162347,JoÃ£o Moutinho,31,81,81,Right,RCM,74
161956,Borja Valero,33,81,81,Right,CAM,67
159261,F. Quagliarella,35,81,81,Right,RS,84
159145,B. Gomis,32,81,81,Right,ST,84
157960,Manuel Fernandes,32,81,81,Right,LM,70
156519,H. Herrera,28,81,81,Right,CM,68
144622,Raffael,33,81,81,Right,CF,78
139068,Nani,31,81,81,Right,LM,70
138412,J. Milner,32,81,81,Right,CM,62
112316,J. Mathieu,34,81,81,Left,LCB,52
45186,JoaquÃ­n,36,81,81,Right,LS,80
239207,M. GÃ³mez,21,80,85,Right,ST,85
235790,K. Havertz,19,80,89,Left,CAM,72
235569,T. Ndombele,21,80,89,Right,CM,59
234906,H. Aouar,20,80,90,Right,LM,72
234153,Carlos Soler,21,80,87,Right,RM,74
234035,Odriozola,22,80,88,Right,RB,45
230977,M. AlmirÃ³n,24,80,84,Left,CAM,74
230347,Welington Dano,30,80,80,Left,LB,51
230234,Everton AndrÃ£o,34,80,80,Right,CDM,58
230142,Oyarzabal,21,80,87,Left,CAM,78
228229,F. Balbuena,26,80,83,Right,RCB,31
227536,M. Marega,27,80,80,Right,RS,80
226851,B. Pavard,22,80,86,Right,RB,37
226790,W. Ndidi,21,80,85,Right,LDM,50
226753,A. Onana,22,80,85,Right,GK,12
226226,G. Lo Celso,22,80,86,Left,RCM,73
224334,M. AcuÃ±a,26,80,80,Left,LB,65
224293,RÃºben Neves,21,80,87,Right,LCM,61
221639,Mariano,24,80,85,Right,ST,81
221540,RaÃºl,28,80,80,Left,CB,50
220477,M. Caldara,24,80,86,Right,CB,36
219985,M. Vecino,26,80,81,Right,LM,61
219809,T. Bakayoko,23,80,85,Right,LCM,37
218339,M. Dahoud,22,80,86,Right,CM,60
216547,Rafa,25,80,83,Right,RW,66
215785,K. BaldÃ©,23,80,85,Right,RM,78
215316,G. Rulli,26,80,85,Right,GK,15
214584,F. Armani,31,80,80,Right,GK,11
212692,Rony Lopes,22,80,85,Left,RM,79
212623,Santi Mina,22,80,85,Right,LS,82
211748,K. Demirbay,24,80,84,Left,RCM,72
211688,GayÃ ,23,80,85,Left,LB,61
211575,AndrÃ© Gomes,24,80,85,Right,LDM,65
211256,N. Tagliafico,25,80,82,Left,LB,57
210896,M. Sanson,23,80,85,Right,RDM,74
209960,Pacheco,26,80,83,Left,GK,16
208333,E. Can,24,80,85,Right,CM,60
208128,H. Ã‡alhanoÄŸlu,24,80,84,Right,CAM,65
207862,M. Ginter,24,80,82,Right,RWB,55
207599,M. Keane,25,80,83,Right,RCB,50
207439,L. Paredes,24,80,85,Right,CM,55
206413,T. Stepanenko,28,80,80,Left,RDM,53
205988,L. Shaw,22,80,85,Left,LB,47
205705,Z. Feddal,28,80,80,Left,CB,40
205693,S. Haller,24,80,83,Right,RS,84
205525,Bernard,25,80,81,Right,LM,71
205114,T. Inui,30,80,80,Right,LM,70
205070,Portu,26,80,81,Right,RM,81
204529,M. Batshuayi,24,80,84,Right,ST,82
204399,E. Zahavi,30,80,80,Right,LS,83
204120,T. VaclÃ­k,29,80,81,Right,GK,14
203841,N. Pope,26,80,83,Right,GK,14
203747,HÃ©ctor BellerÃ­n,23,80,85,Right,RB,52
203605,P. KadeÅ™Ã¡bek,26,80,81,Right,RWB,28
203042,J. Butland,25,80,85,Right,GK,16
202849,J. Vestergaard,25,80,81,Right,CB,34
202695,J. Tarkowski,25,80,83,Right,RCB,36
202477,Deulofeu,24,80,82,Right,RS,69
202335,E. Dier,24,80,84,Right,CDM,52
201377,J. Murillo,26,80,84,Right,LCB,37
201144,M. Badelj,29,80,80,Right,CDM,54
201119,Ismaily,28,80,80,Left,LB,60
200536,N. Schulz,25,80,81,Left,LWB,48
200458,L. Digne,24,80,84,Left,LB,52
200318,M. Uth,26,80,81,Left,ST,85
200315,Cristian Tello,26,80,80,Right,LM,74
199206,D. Vida,29,80,80,Right,LCB,41
199110,L. Muriel,27,80,81,Right,ST,78
199069,V. Aboubakar,26,80,82,Right,ST,80
198784,A. Oxlade-Chamberlain,24,80,85,Right,CM,69
197853,S. Aurier,25,80,83,Right,RB,54
197061,J. Matip,26,80,82,Right,CB,36
195861,Y. Rakitskyi,28,80,80,Left,LCB,57
194879,Sergi Enrich,28,80,80,Right,RS,81
194794,A. Yarmolenko,28,80,80,Left,RM,77
194229,Hugo Mallo,27,80,81,Right,RB,28
194022,AndrÃ© Almeida,27,80,80,Right,RB,54
193886,D. Didavi,28,80,80,Left,CAM,80
193352,R. RodrÃ­guez,25,80,83,Left,LB,59
193061,R. Pereyra,27,80,80,Right,LM,74
192789,Mario Gaspar,27,80,80,Right,RB,68
191687,Maicon,29,80,80,Right,CB,40
190815,D. Blind,28,80,80,Left,LB,46
190778,J. Zoet,27,80,83,Right,GK,12
190544,A. LjajiÄ‡,26,80,81,Right,CAM,69
190286,Canales,27,80,80,Left,RCM,77
190264,Iago FalquÃ©,28,80,80,Left,RW,75
